content,score,sentimen
saya kecewa dengan dana setiap ingin login tidak bisa selalu muncul eror terus dan muncul jaringan tidak tersambung padahal sinyal hp saya lancar kencang. sekarang lebih baik saya pindah ke Ovo,1,0
"Kenapa saya mau login, yang keluar tulisan, sistem sedang sibuk,,,, tolong dibenerin lagi",2,0
Apinya kok ga bisa di pake saya uninstall trus pasang lagi malah ga bisa masuk,1,0
Sering lemot susah buat transaksi,1,0
"kecewa eror mulu tiap mau transfer no tidak di terdaftar , sistem eror macam macam , payah",1,0
Akun saya tidak bisa masuk aplikasi dana,1,0
Sistem sibuk2 terus ga bisa kirim saldo gmn nie,3,0
Tolonglah server jangan sibuk mulu mau tf susah jdnya,1,0
Suka eror,3,0
Parah bangat dana sekarang jalek banggat !!!,1,0
"Kelemahan Dana sistemnya lemot, meski direfresh berapa kalipun susah, udah log out juga masih lemot. Alasan sinyal padahal emng dari aplikasi",4,1
Kenapa ya jdi loading dan dana nya lemot sekarang gk kaya dulu,5,1
"Tong dong kak di perbaiki, terlalu sring muncul notif ""sist sedang sibuk"" Jadi susah mau tf",4,1
saya kasih 4 ajh dulu soal y dana sering ada gangguan sistem,4,1
"Bos tolong perbaiki laah ni knpa gk bisa login dr tadi di dana masih ada sisa uangnya,tolong perbaiki🙏🙏🙏",4,1
good,5,1
Gangguan terus Dana,4,1
Aplikasiii kerennn,5,1
Kenapa error woooy duit cwe gua disitu,4,1
"Ini pada kemana yg kerjanya, aplikasi sekarang sulit di akses... Cepat perbaiki...!!! Bagusin lagi cepetan, biar ga pada kabur...",5,1
dana sedang gangguan kah ?,4,1
Mantap,5,1
Kenapa ya skarang dana lama banget kirim nya masih menunggu di dompet sih sudah kepotong kalau batal juga kembali lagi saldo nya tapi kan lama saya di proses dalam pengajuan jadi menunggu dulu tolong dong apakah di dana nya yang lagi eror apa di yg saya tranfer nya lagi eror dana nya eror lagi aja haduh ga bisa tranfer jaringan nya jelek tolong dong perbaiki,4,1
Sistem sedang sibuk ... Kenapa ya?,4,1
Tolong kenapa ini dana sistem nya sibuk terus,5,1
Kirim duit tidak bisa.. .adalah jaringan terus,5,1
Eror,5,1
Kenapa sistem sibuk mulu ya,4,1
Mantap,5,1
Kenapa DANA Sistem nya sibuk terus kalau mau transaksi,5,1
Senang wagu,5,1
Sekarang sibuk terus sistem nya,5,1
Memudahkan saya dalam bertransaksi... terima kasih,5,1
"Ayodong perbaiki, masa maximum transaksinya 0",5,1
Please bantuan nya.ko setiap mau TF selalu gagal kenpa ya boss.tolong bantuan nya bos. Tetep Aya kasih bintang 5.,5,1
Kenapa bos skrang gangguan gx bsa krim uang n smpai kpan normal kmbali....,5,1
Saya kasih bintang 5 tolong perbaiki kenapa tidak bisa transfer ke bank setelah di update?,5,1
"Dana ko jadi error' terus sih... Gak kaya dulu,kecewa sama yg sekarang",5,1
dana gangguan kah ??,4,1
Sering sistem sibuk skrng,5,1
Respect dan percepat lagi aplikasinya,4,1
Sangat baik,5,1
Ko eror sih mw kirim uang gmn nih min,5,1
Sangat menyenangkan,5,1
"Mau tanya ,,kenapa saya isi saldo dana bisa, sedangkan kirim dana gk bisa, jaringan sibuk terus.. Padahal penting.",4,1
👍,5,1
aplikasi nya bagus tapi kok masih sering gangguan,5,1
ok,5,1
Ada ap aplikasi anda ni,5,1
Kenapa gk bisa kirim uang,5,1
Mantap,5,1
dana saya ga bisa tf ke bank eror knpa ya,5,1
Dana memang bagus untuk kirim uang,5,1
Oke,5,1
Eror terus,5,1
Knp sush transaksi stlah di updet,4,1
lelet boz ku,4,1
Helooooo kenapa gk bisa buat tranver ni,4,1
"Mantaaaap,tapi kalo habis hujan kadang gangguan",5,1
Apakah bisa aplikasi dana untuk tup up saldo shopi pay,5,1
Ok,5,1
Sangat membantu,5,1
"Sengaja bintang 5 biar dibaca admin , mau transaksi susah sistem sibuk Mulu , tambah update tambah lol ,Semakin kesini makin susah gajelas penyebabnya ,",5,1
kenapa saya login eror terus pedahal saya barusan topap 100rb tapi saya login gk bisa2 pedahal sudah saya APUS saya donlod lagi masih saja eror kena tolon di jelas kan apa emang sistem lagi ganguan atau bahaya mana,5,1
Kenapa kalo beberapa hari tidak log in selalu stak di log in? Tidak bisa masuk. Padahal pin sudah benar,4,1
good,5,1
Sangat baik,5,1
Ahir2 ini sering ganggua👎👎👎👎,5,1
"Kenapa dsna gak bisa transaksi ya min, tolong segera di bantu.",5,1
"Hallo, ini udah 3 hari pas mau login kok ga bisa bisa yah,",5,1
Ok,5,1
Terima kasih atas bantuan aplikasi ni bisa membuat kita tidak bakalan ada?¿??????,5,1
Lebih meringankan,5,1
Yg hasil dari game blm juga cair,4,1
Dana eror udah masuk di bilang anda terlalu lama tidak aktif,4,1
Koh saya tidak bisa masuk ke akun dana sih,5,1
Mantap,5,1
Sangat membantu tapi syg belum bisa dapat pinjam,5,1
Nyaman dan amam,5,1
Sampai kapan nih dana sibuk ajh,5,1
Gusba 👌,5,1
Ini ada kendala,4,1
Good,5,1
Kena dana sekarang sering gangguan,5,1
Bagus,5,1
kenapa gangguan nya begitu lama,5,1
Dana selalu bermasalah tolong di perbaiki,5,1
Tapi ko lemot si?,5,1
Kak kenapa dana gak bsa buat transaksi sistem sibuk trus,4,1
Ada apa ini lama sekali gangguan nya?,5,1
Kenapa sistem sibuk? Apakah lagi gangguan server pusat,5,1
Makasih ini adalah aplikasi yg sangat bagus,5,1
Apk mempermudah semuanya,5,1
Suka sekali,5,1
Goood,5,1
gooooddd,5,1
Selamat malam bosku mau tanya kenapa sayah login ga bisa system gangguan trus,5,1
Baru masuk,5,1
Lemot,4,1
Knapa kok akhir2 ini apk dana kok sering gangguan,5,1
Masih lama gangguan nya,5,1
Mantap,5,1
"KENAPA DANA ELOR TERUS,KALO ADA PERBAIKAN MOHON DI IMPOKAN PAK/BU,JANGAN SEKAREP DEWEK.",5,1
Good,5,1
Kenaapa gangguan dana ada apa ya..? Tolong di perbaiki min,5,1
Apakah sedang gangguan apk dana saat ini,5,1
Harap di percepat masalah transaksi ya jangan terlalu lambat bosku,4,1
Jadi mudah kalo mau Depo slot. Mantab,5,1
Gangguan,5,1
Tolong di perbaiki jaringannya untuk saat ini susah login,4,1
